ID,ESCOLAS_2007,ESCOLAS_2008,ESCOLAS_2009,ESCOLAS_2010,ESCOLAS_2011,ESCOLAS_2012,ESCOLAS_2013,ESCOLAS_2014
ID_COMPUTADORES,ID_COMPUTADORES,ID_COMPUTADORES,ID_COMPUTADORES,ID_COMPUTADORES,ID_COMPUTADORES,ID_COMPUTADORES,NA,NA
NUM_COMPUTADORES,NUM_COMPUTADORES,NUM_COMPUTADORES,NUM_COMPUTADORES,NUM_COMPUTADORES,NUM_COMPUTADORES,NUM_COMPUTADORES,NUM_COMPUTADORES,NUM_COMPUTADORES
NUM_COMP_ADMINISTRATIVOS,NUM_COMP_ADMINISTRATIVOS,NUM_COMP_ADMINISTRATIVOS,NUM_COMP_ADMINISTRATIVOS,NUM_COMP_ADMINISTRATIVOS,NUM_COMP_ADMINISTRATIVOS,NUM_COMP_ADMINISTRATIVOS,NUM_COMP_ADMINISTRATIVOS,NUM_COMP_ADMINISTRATIVOS
NUM_COMP_ALUNOS,NUM_COMP_ALUNOS,NUM_COMP_ALUNOS,NUM_COMP_ALUNOS,NUM_COMP_ALUNOS,NUM_COMP_ALUNOS,NUM_COMP_ALUNOS,NUM_COMP_ALUNOS,NUM_COMP_ALUNOS
ID_INTERNET,ID_INTERNET,ID_INTERNET,ID_INTERNET,ID_INTERNET,ID_INTERNET,ID_INTERNET,ID_INTERNET,ID_INTERNET
NUM_FUNCIONARIOS,NUM_FUNCIONARIOS,NUM_FUNCIONARIOS,NUM_FUNCIONARIOS,NUM_FUNCIONARIOS,NUM_FUNCIONARIOS,NUM_FUNCIONARIOS,NUM_FUNCIONARIOS,NUM_FUNCIONARIOS
NUM_LIVROS_DEV_2SERIE,NUM_LIVROS_DEV_2SERIE,NUM_LIVROS_DEV_2SERIE,NA,NA,NA,NA,NA,NA
NUM_LIVROS_DEV_3SERIE,NUM_LIVROS_DEV_3SERIE,NUM_LIVROS_DEV_3SERIE,NA,NA,NA,NA,NA,NA
NUM_LIVROS_DEV_4SERIE,NUM_LIVROS_DEV_4SERIE,NUM_LIVROS_DEV_4SERIE,NA,NA,NA,NA,NA,NA
NUM_LIVROS_DEV_5SERIE,NUM_LIVROS_DEV_5SERIE,NUM_LIVROS_DEV_5SERIE,NA,NA,NA,NA,NA,NA
NUM_LIVROS_DEV_6SERIE,NUM_LIVROS_DEV_6SERIE,NUM_LIVROS_DEV_6SERIE,NA,NA,NA,NA,NA,NA
NUM_LIVROS_DEV_7SERIE,NUM_LIVROS_DEV_7SERIE,NUM_LIVROS_DEV_7SERIE,NA,NA,NA,NA,NA,NA
NUM_LIVROS_DEV_8SERIE,NUM_LIVROS_DEV_8SERIE,NUM_LIVROS_DEV_8SERIE,NA,NA,NA,NA,NA,NA
NUM_LIVROS_REU_2SERIE,NUM_LIVROS_REU_2SERIE,NUM_LIVROS_REU_2SERIE,NA,NA,NA,NA,NA,NA
NUM_LIVROS_REU_3SERIE,NUM_LIVROS_REU_3SERIE,NUM_LIVROS_REU_3SERIE,NA,NA,NA,NA,NA,NA
NUM_LIVROS_REU_4SERIE,NUM_LIVROS_REU_4SERIE,NUM_LIVROS_REU_4SERIE,NA,NA,NA,NA,NA,NA
NUM_LIVROS_REU_5SERIE,NUM_LIVROS_REU_5SERIE,NUM_LIVROS_REU_5SERIE,NA,NA,NA,NA,NA,NA
NUM_LIVROS_REU_6SERIE,NUM_LIVROS_REU_6SERIE,NUM_LIVROS_REU_6SERIE,NA,NA,NA,NA,NA,NA
NUM_LIVROS_REU_7SERIE,NUM_LIVROS_REU_7SERIE,NUM_LIVROS_REU_7SERIE,NA,NA,NA,NA,NA,NA
NUM_LIVROS_REU_8SERIE,NUM_LIVROS_REU_8SERIE,NUM_LIVROS_REU_8SERIE,NA,NA,NA,NA,NA,NA
ID_ALIMENTACAO,ID_ALIMENTACAO,ID_ALIMENTACAO,ID_ALIMENTACAO,ID_ALIMENTACAO,ID_ALIMENTACAO,ID_ALIMENTACAO,ID_ALIMENTACAO,ID_ALIMENTACAO
ID_MOD_ENS_REGULAR,ID_MOD_ENS_REGULAR,ID_MOD_ENS_REGULAR,ID_MOD_ENS_REGULAR,ID_MOD_ENS_REGULAR,ID_MOD_ENS_REGULAR,ID_MOD_ENS_REGULAR,ID_MOD_ENS_REGULAR,ID_MOD_ENS_REGULAR
ID_REG_INFANTIL_CRECHE,ID_REG_INFANTIL_CRECHE,ID_REG_INFANTIL_CRECHE,ID_REG_INFANTIL_CRECHE,ID_REG_INFANTIL_CRECHE,ID_REG_INFANTIL_CRECHE,ID_REG_INFANTIL_CRECHE,ID_REG_INFANTIL_CRECHE,ID_REG_INFANTIL_CRECHE
ID_REG_INFANTIL_PREESCOLA,ID_REG_INFANTIL_PREESCOLA,ID_REG_INFANTIL_PREESCOLA,ID_REG_INFANTIL_PREESCOLA,ID_REG_INFANTIL_PREESCOLA,ID_REG_INFANTIL_PREESCOLA,ID_REG_INFANTIL_PREESCOLA,ID_REG_INFANTIL_PREESCOLA,ID_REG_INFANTIL_PREESCOLA
ID_REG_FUND_8_ANOS,ID_REG_FUND_8_ANOS,ID_REG_FUND_8_ANOS,ID_REG_FUND_8_ANOS,ID_REG_FUND_8_ANOS,ID_REG_FUND_8_ANOS,ID_REG_FUND_8_ANOS,ID_REG_FUND_8_ANOS,ID_REG_FUND_8_ANOS
ID_REG_FUND_9_ANOS,ID_REG_FUND_9_ANOS,ID_REG_FUND_9_ANOS,ID_REG_FUND_9_ANOS,ID_REG_FUND_9_ANOS,ID_REG_FUND_9_ANOS,ID_REG_FUND_9_ANOS,ID_REG_FUND_9_ANOS,ID_REG_FUND_9_ANOS
